515,"select psfSigma1_z, psfSigma2_z, psfB_z, psfP0_z, psfBeta_z, psfSigmaP_z, psfSigma1_u, psfSigma2_u, psfB_u, psfP0_u, psfBeta_u, psfSigmaP_u, psfSigma1_g, psfSigma2_g, psfB_g, psfP0_g, psfBeta_g, psfSigmaP_g, psfSigma1_r, psfSigma2_r, psfB_r, psfP0_r, psfBeta_r, psfSigmaP_r, psfSigma1_i, psfSigma2_i, psfB_i, psfP0_i, psfBeta_i, psfSigmaP_i from Field where run = # and rerun = # and camcol = # and field = #"
2019-01-16 11:03:00,2
2019-01-16 11:06:00,2
2019-01-16 11:09:00,2
2019-01-16 11:12:00,5
2019-01-16 11:15:00,1
2019-01-16 11:18:00,1
2019-01-16 11:29:00,1
2019-01-16 11:33:00,1
2019-01-16 11:37:00,1
2019-01-16 11:42:00,1
2019-01-16 11:51:00,1
2019-01-16 12:23:00,1
2019-01-16 12:27:00,1
2019-01-16 12:30:00,2
2019-01-16 12:33:00,2
2019-01-16 12:34:00,2
2019-01-16 12:35:00,4
2019-01-16 12:37:00,5
2019-01-16 12:40:00,3
2019-01-16 12:41:00,4
2019-01-16 12:42:00,2
2019-01-16 12:43:00,2
2019-01-16 12:51:00,1
2019-01-16 12:52:00,2
2019-01-16 12:53:00,4
2019-01-16 12:55:00,5
2019-01-16 12:56:00,3
2019-01-16 12:58:00,4
2019-01-16 12:59:00,2
2019-01-16 13:00:00,4
2019-01-16 13:01:00,1
2019-01-16 13:02:00,1
2019-01-16 13:04:00,10
2019-01-16 13:06:00,1
2019-01-16 13:07:00,3
2019-01-16 13:08:00,2
2019-01-16 13:09:00,3
2019-01-16 13:16:00,10
2019-01-16 13:17:00,1
2019-01-16 13:18:00,9
2019-01-16 13:19:00,1
2019-01-16 13:20:00,3
2019-01-16 13:21:00,3
2019-01-16 13:28:00,1
2019-01-16 13:29:00,10
2019-01-16 13:30:00,2
2019-01-16 13:31:00,2
2019-01-16 13:32:00,3
2019-01-16 13:33:00,2
2019-01-16 13:34:00,2
2019-01-16 13:35:00,2
2019-01-16 13:36:00,2
2019-01-16 13:37:00,2
2019-01-16 13:38:00,2
2019-01-16 13:39:00,3
2019-01-16 13:40:00,4
2019-01-16 13:41:00,1
2019-01-16 13:42:00,3
2019-01-16 13:43:00,3
2019-01-16 13:44:00,1
2019-01-16 13:53:00,10
2019-01-16 13:54:00,1
2019-01-16 14:01:00,10
2019-01-16 14:02:00,2
2019-01-16 14:03:00,9
2019-01-16 14:04:00,1
2019-01-16 14:11:00,1
2019-01-16 14:12:00,7
2019-01-16 14:13:00,1
2019-01-16 14:14:00,4
2019-01-16 14:16:00,10
2019-01-16 14:18:00,2
2019-01-16 14:25:00,9
2019-01-16 14:26:00,1
2019-01-16 14:27:00,2
2019-01-16 14:28:00,11
2019-01-16 16:29:00,2
2019-01-16 16:41:00,10
2019-01-16 16:43:00,10
2019-01-16 16:45:00,7
2019-01-16 16:46:00,3
2019-01-16 16:49:00,10
2019-01-16 16:51:00,7
2019-01-16 16:52:00,3
2019-01-16 18:54:00,4
2019-01-16 18:55:00,9
2019-01-16 18:58:00,7
2019-01-16 18:59:00,6
2019-01-16 19:00:00,1
2019-01-16 19:01:00,1
2019-01-16 19:05:00,10
2019-01-16 19:07:00,2
2019-01-16 19:08:00,7
2019-01-16 19:14:00,10
2019-01-16 19:22:00,10
2019-01-16 19:23:00,2
2019-01-16 19:24:00,5
2019-01-16 19:31:00,10
2019-01-16 19:34:00,7
2019-01-16 19:35:00,3
2019-01-16 19:36:00,4
2019-01-16 19:38:00,4
2019-01-16 19:39:00,3
2019-01-16 19:41:00,2
2019-01-16 19:42:00,1
2019-01-16 19:43:00,6
2019-01-16 19:44:00,1
2019-01-16 19:52:00,10
2019-01-16 19:53:00,1
2019-01-16 19:58:00,10
2019-01-16 20:01:00,4
2019-01-16 20:08:00,8
2019-01-16 20:16:00,8
2019-01-16 20:17:00,3
2019-01-16 20:18:00,2
2019-01-16 20:23:00,10
2019-01-16 20:24:00,1
2019-01-16 20:25:00,1
2019-01-16 20:32:00,9
2019-01-16 20:33:00,2
2019-01-16 20:34:00,2
2019-01-16 20:41:00,10
2019-01-16 20:42:00,2
2019-01-16 20:50:00,10
2019-01-16 20:57:00,10
