139,select * from dbo.fDocColumns(&&&)
2019-01-16 00:03:00,1
2019-01-16 00:06:00,9
2019-01-16 00:33:00,1
2019-01-16 00:40:00,1
2019-01-16 02:01:00,1
2019-01-16 02:27:00,1
2019-01-16 03:27:00,2
2019-01-16 03:41:00,2
2019-01-16 04:01:00,1
2019-01-16 04:07:00,1
2019-01-16 05:42:00,1
2019-01-16 06:38:00,2
2019-01-16 07:19:00,1
2019-01-16 07:47:00,2
2019-01-16 08:24:00,1
2019-01-16 08:25:00,1
2019-01-16 08:34:00,1
2019-01-16 08:41:00,2
2019-01-16 08:51:00,2
2019-01-16 08:52:00,1
2019-01-16 08:55:00,2
2019-01-16 09:00:00,3
2019-01-16 09:16:00,2
2019-01-16 10:04:00,1
2019-01-16 10:58:00,1
2019-01-16 11:13:00,2
2019-01-16 11:31:00,2
2019-01-16 11:34:00,2
2019-01-16 11:47:00,2
2019-01-16 12:42:00,1
2019-01-16 12:56:00,1
2019-01-16 13:23:00,1
2019-01-16 13:27:00,1
2019-01-16 13:37:00,1
2019-01-16 14:15:00,3
2019-01-16 14:16:00,3
2019-01-16 14:17:00,1
2019-01-16 14:20:00,1
2019-01-16 14:21:00,1
2019-01-16 14:22:00,2
2019-01-16 14:32:00,1
2019-01-16 14:34:00,2
2019-01-16 14:53:00,2
2019-01-16 14:54:00,1
2019-01-16 15:05:00,2
2019-01-16 15:14:00,1
2019-01-16 15:37:00,2
2019-01-16 16:01:00,1
2019-01-16 16:24:00,1
2019-01-16 16:26:00,1
2019-01-16 16:30:00,1
2019-01-16 16:31:00,1
2019-01-16 16:32:00,5
2019-01-16 16:35:00,4
2019-01-16 16:41:00,2
2019-01-16 16:42:00,2
2019-01-16 16:45:00,1
2019-01-16 17:10:00,1
2019-01-16 17:56:00,1
2019-01-16 18:15:00,1
2019-01-16 18:53:00,1
2019-01-16 18:55:00,1
2019-01-16 18:56:00,2
2019-01-16 19:14:00,1
2019-01-16 19:17:00,3
2019-01-16 19:24:00,2
2019-01-16 19:34:00,1
2019-01-16 19:37:00,1
2019-01-16 20:05:00,3
2019-01-16 20:32:00,2
2019-01-16 20:40:00,1
2019-01-16 20:55:00,2
2019-01-16 21:58:00,1
2019-01-16 22:24:00,2
2019-01-16 22:31:00,2
2019-01-16 22:34:00,1
2019-01-16 22:37:00,9
2019-01-16 22:38:00,1
2019-01-16 22:45:00,1
2019-01-16 23:15:00,1
2019-01-16 23:50:00,1
