115,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-01-16 03:21:00,6
2019-01-16 03:54:00,4
2019-01-16 05:52:00,4
2019-01-16 16:25:00,1
2019-01-16 18:00:00,6
2019-01-16 18:02:00,8
2019-01-16 18:03:00,6
2019-01-16 18:04:00,6
2019-01-16 18:06:00,4
2019-01-16 18:07:00,8
2019-01-16 18:08:00,8
2019-01-16 18:09:00,8
2019-01-16 18:10:00,4
2019-01-16 18:11:00,6
2019-01-16 18:12:00,2
2019-01-16 18:13:00,5
2019-01-16 18:14:00,5
2019-01-16 18:15:00,2
2019-01-16 18:16:00,14
2019-01-16 18:17:00,8
