166,"SELECT t.objid , t.thingid, t.ndetect,t.ra,t.dec , p.mjd,p.u, p.g, p.r, p.i, p.z, p.err_u,p.err_g,p.err_r,p.err_i,p.err_z  FROM thingIndex t,detectionindex d ,photoobjall p,dbo.fgetNearByObjEq( # ,#,#) n where t.objid = n.objid and t.thingid = d.thingid and p.objid = d.objid Order by t.thingid"
2019-01-16 09:57:00,2
2019-01-16 10:03:00,1
2019-01-16 10:12:00,1
2019-01-16 10:13:00,4
2019-01-16 10:14:00,4
2019-01-16 10:15:00,3
2019-01-16 10:16:00,3
2019-01-16 10:17:00,4
2019-01-16 10:18:00,3
2019-01-16 10:19:00,3
2019-01-16 10:31:00,1
2019-01-16 10:32:00,3
2019-01-16 10:33:00,3
2019-01-16 10:34:00,2
2019-01-16 10:35:00,4
2019-01-16 10:39:00,2
2019-01-16 10:40:00,3
2019-01-16 10:41:00,3
2019-01-16 10:42:00,2
2019-01-16 10:44:00,2
2019-01-16 10:55:00,1
2019-01-16 10:56:00,4
2019-01-16 10:57:00,4
2019-01-16 10:58:00,4
2019-01-16 10:59:00,4
2019-01-16 11:00:00,4
2019-01-16 11:01:00,1
2019-01-16 11:05:00,3
2019-01-16 11:06:00,2
2019-01-16 11:07:00,1
2019-01-16 11:08:00,5
2019-01-16 11:09:00,4
2019-01-16 11:10:00,3
2019-01-16 11:11:00,4
2019-01-16 11:12:00,4
2019-01-16 11:14:00,1
2019-01-16 11:15:00,4
2019-01-16 11:16:00,2
2019-01-16 11:17:00,4
2019-01-16 11:18:00,3
2019-01-16 11:19:00,3
2019-01-16 11:20:00,3
2019-01-16 11:21:00,1
2019-01-16 11:53:00,1
2019-01-16 13:27:00,1
2019-01-16 13:28:00,4
2019-01-16 13:29:00,4
2019-01-16 13:30:00,4
2019-01-16 13:31:00,2
2019-01-16 13:32:00,2
2019-01-16 13:33:00,3
2019-01-16 13:34:00,5
2019-01-16 13:35:00,3
2019-01-16 13:36:00,3
2019-01-16 13:37:00,4
2019-01-16 13:38:00,4
2019-01-16 13:39:00,4
