16105,"select p.ra, p.dec, p.type,p.insidemask,p.flags_g,p.flags_i,p.flags_r,p.cModelMag_u, p.cModelMagErr_u,p.cModelMag_g, p.cModelMagErr_g,p.cModelMag_r, p.cModelMagErr_r,p.cModelMag_i, p.cModelMagErr_i,p.cModelMag_z, p.cModelMagErr_z from Galaxy p join dbo.fGetNearbyObjEq(#,#,#) r on p.ObjID = r.ObjID"
2019-01-16 03:05:00,35
2019-01-16 03:06:00,44
2019-01-16 03:07:00,56
2019-01-16 03:08:00,58
2019-01-16 03:09:00,57
2019-01-16 03:10:00,56
2019-01-16 03:11:00,53
2019-01-16 03:12:00,47
2019-01-16 03:13:00,31
2019-01-16 03:14:00,29
2019-01-16 03:15:00,27
2019-01-16 03:16:00,28
2019-01-16 03:17:00,16
2019-01-16 03:18:00,15
2019-01-16 03:19:00,14
2019-01-16 03:20:00,17
2019-01-16 03:21:00,15
2019-01-16 03:22:00,16
2019-01-16 03:23:00,15
2019-01-16 03:24:00,16
2019-01-16 03:25:00,13
2019-01-16 03:26:00,42
2019-01-16 03:27:00,51
2019-01-16 03:28:00,55
2019-01-16 03:29:00,57
2019-01-16 03:30:00,46
2019-01-16 03:31:00,32
2019-01-16 03:32:00,31
2019-01-16 03:33:00,27
2019-01-16 03:34:00,17
2019-01-16 03:35:00,19
2019-01-16 03:36:00,17
2019-01-16 03:37:00,18
2019-01-16 03:38:00,18
2019-01-16 03:39:00,17
2019-01-16 03:40:00,18
2019-01-16 03:41:00,30
2019-01-16 03:42:00,45
2019-01-16 03:43:00,42
2019-01-16 03:44:00,21
2019-01-16 03:45:00,16
2019-01-16 03:46:00,15
2019-01-16 03:47:00,16
2019-01-16 03:48:00,17
2019-01-16 03:49:00,18
2019-01-16 03:50:00,15
2019-01-16 03:51:00,18
2019-01-16 03:52:00,26
2019-01-16 03:53:00,35
2019-01-16 03:54:00,32
2019-01-16 03:55:00,31
2019-01-16 03:56:00,33
2019-01-16 03:57:00,34
2019-01-16 03:58:00,35
2019-01-16 03:59:00,40
2019-01-16 04:00:00,45
2019-01-16 04:01:00,48
2019-01-16 04:02:00,51
2019-01-16 04:03:00,59
2019-01-16 04:04:00,58
2019-01-16 04:05:00,49
2019-01-16 04:06:00,34
2019-01-16 04:07:00,34
2019-01-16 04:08:00,30
2019-01-16 04:09:00,34
2019-01-16 04:10:00,36
2019-01-16 04:11:00,38
2019-01-16 04:12:00,42
2019-01-16 04:13:00,54
2019-01-16 04:14:00,55
2019-01-16 04:15:00,55
2019-01-16 04:16:00,58
2019-01-16 04:17:00,43
2019-01-16 04:18:00,41
2019-01-16 04:19:00,39
2019-01-16 04:20:00,46
2019-01-16 04:21:00,54
2019-01-16 04:22:00,37
2019-01-16 04:23:00,18
2019-01-16 04:24:00,15
2019-01-16 04:25:00,15
2019-01-16 04:26:00,16
2019-01-16 04:27:00,15
2019-01-16 04:28:00,15
2019-01-16 04:29:00,15
2019-01-16 04:30:00,27
2019-01-16 04:31:00,35
2019-01-16 04:32:00,34
2019-01-16 04:33:00,35
2019-01-16 04:34:00,25
2019-01-16 04:35:00,16
2019-01-16 04:36:00,20
2019-01-16 04:37:00,18
2019-01-16 04:38:00,17
2019-01-16 04:39:00,17
2019-01-16 04:40:00,18
