29,select top # * from galaxy
2019-09-19 00:06:00,1
2019-09-19 00:22:00,1
2019-09-19 01:14:00,1
2019-09-19 01:49:00,1
2019-09-19 02:46:00,1
2019-09-19 02:57:00,1
2019-09-19 05:45:00,1
2019-09-19 12:32:00,1
2019-09-19 13:32:00,1
2019-09-19 13:34:00,1
2019-09-19 14:49:00,2
2019-09-19 15:29:00,1
2019-09-19 15:33:00,1
2019-09-19 15:46:00,1
2019-09-19 16:30:00,1
2019-09-19 17:01:00,1
2019-09-19 17:06:00,1
2019-09-19 17:07:00,1
2019-09-19 17:31:00,1
2019-09-19 18:42:00,1
2019-09-19 19:54:00,1
2019-09-19 20:15:00,2
2019-09-19 20:26:00,1
2019-09-19 20:38:00,1
2019-09-19 21:53:00,1
2019-09-19 23:16:00,1
2019-09-19 23:51:00,1
