11,"SELECT  top # p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID  AND p.u BETWEEN # AND #"
2019-09-19 01:14:00,1
2019-09-19 01:49:00,1
2019-09-19 12:29:00,1
2019-09-19 13:34:00,1
2019-09-19 15:33:00,1
2019-09-19 15:46:00,1
2019-09-19 17:00:00,1
2019-09-19 21:23:00,1
2019-09-19 22:32:00,1
2019-09-19 23:15:00,1
2019-09-19 23:51:00,1
