19,"SELECT objID, ra, dec, psfMag_r, psfMagErr_r,clean,type,mode FROM PhotoObj WHERE (ra between # and #) and (dec between # and #) and type=# and mode=# and (petroMag_r <= #)"
2019-09-19 19:51:00,1
2019-09-19 20:20:00,1
2019-09-19 20:21:00,1
2019-09-19 20:34:00,2
2019-09-19 20:36:00,1
2019-09-19 20:38:00,1
2019-09-19 20:39:00,1
2019-09-19 20:43:00,2
2019-09-19 20:44:00,1
2019-09-19 20:59:00,1
2019-09-19 21:03:00,2
2019-09-19 21:04:00,1
2019-09-19 21:12:00,1
2019-09-19 21:15:00,1
2019-09-19 21:21:00,2
