22,select * from stellarMassFSPSGranWideNoDust where specObjId=#
2019-09-19 02:33:00,1
2019-09-19 03:51:00,1
2019-09-19 04:17:00,1
2019-09-19 08:02:00,1
2019-09-19 08:41:00,1
2019-09-19 09:19:00,1
2019-09-19 12:49:00,1
2019-09-19 14:01:00,2
2019-09-19 14:13:00,1
2019-09-19 14:41:00,1
2019-09-19 18:51:00,1
2019-09-19 21:00:00,1
2019-09-19 21:13:00,1
2019-09-19 21:21:00,1
2019-09-19 21:34:00,1
2019-09-19 22:15:00,1
2019-09-19 22:16:00,1
2019-09-19 22:30:00,1
2019-09-19 22:34:00,1
2019-09-19 22:59:00,1
2019-09-19 23:46:00,1
