34,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-09-19 08:59:00,1
2019-09-19 09:00:00,2
2019-09-19 14:20:00,3
2019-09-19 14:36:00,1
2019-09-19 14:44:00,1
2019-09-19 14:49:00,1
2019-09-19 14:55:00,1
2019-09-19 15:07:00,1
2019-09-19 16:10:00,1
2019-09-19 16:20:00,1
2019-09-19 17:32:00,1
2019-09-19 17:33:00,1
2019-09-19 17:46:00,1
2019-09-19 17:47:00,1
2019-09-19 18:00:00,3
2019-09-19 18:07:00,1
2019-09-19 18:08:00,1
2019-09-19 18:45:00,6
2019-09-19 23:33:00,1
2019-09-19 23:44:00,1
2019-09-19 23:45:00,1
2019-09-19 23:47:00,2
2019-09-19 23:56:00,1
