104,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-09-19 04:45:00,1
2019-09-19 05:50:00,1
2019-09-19 08:10:00,18
2019-09-19 08:20:00,2
2019-09-19 10:20:00,13
2019-09-19 12:45:00,6
2019-09-19 14:45:00,31
2019-09-19 14:46:00,7
2019-09-19 14:50:00,1
2019-09-19 15:05:00,7
2019-09-19 15:10:00,4
2019-09-19 16:15:00,2
2019-09-19 17:15:00,1
2019-09-19 17:35:00,2
2019-09-19 20:35:00,1
2019-09-19 20:45:00,2
2019-09-19 21:10:00,3
2019-09-19 21:20:00,2
