11,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID  AND p.u BETWEEN # AND #"
2019-09-19 00:06:00,1
2019-09-19 02:56:00,1
2019-09-19 14:49:00,1
2019-09-19 15:05:00,1
2019-09-19 15:17:00,1
2019-09-19 16:34:00,1
2019-09-19 16:41:00,1
2019-09-19 17:19:00,1
2019-09-19 19:53:00,1
2019-09-19 20:50:00,1
2019-09-19 23:12:00,1
