141,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-09-19 00:11:00,9
2019-09-19 00:12:00,7
2019-09-19 00:13:00,5
2019-09-19 00:19:00,14
2019-09-19 00:20:00,4
2019-09-19 00:23:00,2
2019-09-19 01:12:00,1
2019-09-19 02:15:00,7
2019-09-19 02:16:00,3
2019-09-19 02:37:00,1
2019-09-19 07:03:00,1
2019-09-19 08:03:00,7
2019-09-19 08:06:00,2
2019-09-19 08:12:00,3
2019-09-19 08:14:00,1
2019-09-19 08:16:00,2
2019-09-19 08:19:00,2
2019-09-19 08:26:00,1
2019-09-19 09:50:00,2
2019-09-19 12:35:00,1
2019-09-19 14:03:00,5
2019-09-19 14:04:00,5
2019-09-19 14:38:00,1
2019-09-19 16:13:00,6
2019-09-19 16:14:00,4
2019-09-19 16:46:00,1
2019-09-19 16:47:00,9
2019-09-19 16:52:00,2
2019-09-19 16:53:00,1
2019-09-19 17:00:00,1
2019-09-19 19:01:00,1
2019-09-19 19:04:00,1
2019-09-19 19:21:00,1
2019-09-19 19:36:00,3
2019-09-19 19:37:00,1
2019-09-19 23:05:00,1
2019-09-19 23:06:00,1
2019-09-19 23:15:00,1
2019-09-19 23:24:00,6
2019-09-19 23:25:00,4
2019-09-19 23:27:00,10
2019-09-19 23:33:00,1
