211,"select plate, mjd, fiberID from dbo.fGetNearbySpecObjAllEq(#, #, #)"
2019-09-19 13:23:00,1
2019-09-19 13:24:00,2
2019-09-19 13:26:00,1
2019-09-19 13:27:00,1
2019-09-19 13:28:00,2
2019-09-19 13:29:00,1
2019-09-19 13:30:00,3
2019-09-19 13:32:00,2
2019-09-19 13:34:00,3
2019-09-19 13:35:00,1
2019-09-19 13:37:00,1
2019-09-19 13:39:00,1
2019-09-19 13:40:00,1
2019-09-19 13:42:00,1
2019-09-19 13:44:00,1
2019-09-19 13:46:00,1
2019-09-19 13:52:00,1
2019-09-19 13:54:00,1
2019-09-19 13:55:00,1
2019-09-19 13:56:00,2
2019-09-19 13:58:00,1
2019-09-19 14:01:00,1
2019-09-19 14:07:00,1
2019-09-19 14:16:00,1
2019-09-19 14:22:00,1
2019-09-19 14:24:00,1
2019-09-19 14:33:00,1
2019-09-19 14:42:00,1
2019-09-19 14:44:00,1
2019-09-19 14:55:00,1
2019-09-19 15:01:00,1
2019-09-19 15:04:00,1
2019-09-19 15:16:00,1
2019-09-19 15:19:00,1
2019-09-19 15:20:00,2
2019-09-19 15:24:00,1
2019-09-19 15:25:00,1
2019-09-19 15:26:00,1
2019-09-19 15:27:00,1
2019-09-19 15:35:00,1
2019-09-19 15:42:00,2
2019-09-19 15:43:00,3
2019-09-19 15:47:00,1
2019-09-19 15:48:00,1
2019-09-19 15:49:00,1
2019-09-19 16:05:00,2
2019-09-19 16:09:00,1
2019-09-19 16:11:00,1
2019-09-19 16:13:00,1
2019-09-19 16:14:00,1
2019-09-19 16:19:00,2
2019-09-19 16:31:00,3
2019-09-19 16:35:00,1
2019-09-19 16:36:00,1
2019-09-19 16:41:00,2
2019-09-19 16:42:00,1
2019-09-19 16:43:00,2
2019-09-19 16:45:00,1
2019-09-19 16:46:00,2
2019-09-19 16:47:00,2
2019-09-19 16:48:00,3
2019-09-19 16:49:00,1
2019-09-19 16:52:00,2
2019-09-19 16:54:00,1
2019-09-19 16:55:00,2
2019-09-19 16:57:00,1
2019-09-19 17:01:00,1
2019-09-19 17:02:00,2
2019-09-19 17:09:00,2
2019-09-19 17:10:00,1
2019-09-19 17:11:00,1
2019-09-19 17:14:00,1
2019-09-19 17:17:00,1
2019-09-19 17:18:00,1
2019-09-19 17:19:00,1
2019-09-19 17:20:00,1
2019-09-19 17:24:00,1
2019-09-19 17:26:00,2
2019-09-19 17:27:00,1
2019-09-19 17:28:00,1
2019-09-19 17:30:00,1
2019-09-19 17:33:00,1
2019-09-19 17:35:00,1
2019-09-19 17:40:00,1
2019-09-19 17:41:00,2
2019-09-19 17:46:00,3
2019-09-19 17:48:00,1
2019-09-19 17:49:00,1
2019-09-19 17:50:00,4
2019-09-19 17:51:00,5
2019-09-19 17:52:00,3
2019-09-19 17:53:00,1
2019-09-19 17:54:00,1
2019-09-19 17:55:00,1
2019-09-19 17:56:00,1
2019-09-19 17:57:00,3
2019-09-19 17:59:00,3
2019-09-19 18:00:00,3
2019-09-19 18:03:00,3
2019-09-19 18:05:00,2
2019-09-19 18:06:00,1
2019-09-19 18:08:00,2
2019-09-19 18:10:00,1
2019-09-19 18:11:00,2
2019-09-19 18:12:00,2
2019-09-19 18:13:00,3
2019-09-19 18:14:00,2
2019-09-19 18:15:00,1
2019-09-19 18:16:00,2
2019-09-19 18:17:00,1
2019-09-19 18:18:00,1
2019-09-19 18:19:00,2
2019-09-19 18:21:00,1
2019-09-19 18:22:00,1
2019-09-19 18:23:00,1
2019-09-19 18:24:00,6
2019-09-19 18:25:00,5
2019-09-19 18:26:00,2
2019-09-19 18:28:00,3
2019-09-19 18:29:00,1
2019-09-19 18:30:00,1
2019-09-19 18:31:00,7
2019-09-19 18:32:00,2
2019-09-19 18:33:00,6
2019-09-19 18:34:00,3
2019-09-19 18:35:00,1
2019-09-19 18:36:00,2
2019-09-19 18:37:00,1
