3,"SELECT TOP # g.ObjID, g.ra, g.dec 	into  mydb.galCoord1 	from dbo.Galaxy as g, mydb.MyTable as o 	WHERE g.ObjID = o.objID"
2019-11-19 04:22:00,2
2019-11-19 04:23:00,1
