34,"SELECT  g.ObjID, g.ra, g.dec 	into  mydb.galCoord_# 	from dbo.Galaxy as g, mydb.MyTable as o 	WHERE g.ObjID = o.objID"
2019-11-19 04:43:00,2
2019-11-19 05:00:00,1
2019-11-19 05:08:00,1
2019-11-19 05:20:00,1
2019-11-19 05:26:00,1
2019-11-19 05:37:00,1
2019-11-19 05:58:00,1
2019-11-19 06:05:00,1
2019-11-19 06:12:00,1
2019-11-19 06:19:00,1
2019-11-19 06:32:00,1
2019-11-19 06:39:00,1
2019-11-19 06:43:00,1
2019-11-19 06:50:00,1
2019-11-19 06:55:00,1
2019-11-19 07:01:00,1
2019-11-19 08:01:00,1
2019-11-19 08:09:00,1
2019-11-19 08:15:00,1
2019-11-19 08:21:00,1
2019-11-19 08:26:00,1
2019-11-19 08:32:00,1
2019-11-19 08:39:00,1
2019-11-19 08:42:00,1
2019-11-19 08:48:00,1
2019-11-19 08:53:00,1
2019-11-19 08:59:00,1
2019-11-19 09:04:00,1
2019-11-19 09:09:00,1
2019-11-19 09:15:00,1
2019-11-19 09:23:00,1
2019-11-19 09:30:00,1
2019-11-19 09:36:00,1
