656,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-11-19 18:07:00,11
2019-11-19 18:08:00,28
2019-11-19 18:09:00,34
2019-11-19 18:10:00,29
2019-11-19 18:11:00,28
2019-11-19 18:12:00,34
2019-11-19 18:13:00,32
2019-11-19 18:14:00,30
2019-11-19 18:15:00,26
2019-11-19 18:16:00,27
2019-11-19 18:17:00,26
2019-11-19 18:18:00,28
2019-11-19 18:19:00,30
2019-11-19 18:20:00,26
2019-11-19 18:21:00,16
2019-11-19 18:22:00,25
2019-11-19 18:23:00,25
2019-11-19 18:24:00,14
2019-11-19 18:25:00,25
2019-11-19 18:26:00,22
2019-11-19 18:27:00,17
2019-11-19 18:28:00,29
2019-11-19 18:29:00,33
2019-11-19 18:30:00,32
2019-11-19 18:31:00,29
