303,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-11-19 09:24:00,2
2019-11-19 09:25:00,6
2019-11-19 09:26:00,6
2019-11-19 09:27:00,5
2019-11-19 09:28:00,6
2019-11-19 09:29:00,5
2019-11-19 09:30:00,5
2019-11-19 09:31:00,5
2019-11-19 09:32:00,7
2019-11-19 09:33:00,7
2019-11-19 09:34:00,4
2019-11-19 09:35:00,4
2019-11-19 09:36:00,5
2019-11-19 09:37:00,4
2019-11-19 09:38:00,4
2019-11-19 09:39:00,4
2019-11-19 09:40:00,3
2019-11-19 09:41:00,4
2019-11-19 09:42:00,5
2019-11-19 09:43:00,4
2019-11-19 09:44:00,6
2019-11-19 09:45:00,4
2019-11-19 09:46:00,3
2019-11-19 10:06:00,1
2019-11-19 10:07:00,1
2019-11-19 10:08:00,4
2019-11-19 10:09:00,4
2019-11-19 10:10:00,4
2019-11-19 10:11:00,4
2019-11-19 10:12:00,4
2019-11-19 10:13:00,4
2019-11-19 10:14:00,1
2019-11-19 10:19:00,3
2019-11-19 10:20:00,6
2019-11-19 10:25:00,3
2019-11-19 10:33:00,3
2019-11-19 10:34:00,3
2019-11-19 10:35:00,5
2019-11-19 10:36:00,6
2019-11-19 10:37:00,7
2019-11-19 10:38:00,7
2019-11-19 10:39:00,8
2019-11-19 10:40:00,7
2019-11-19 10:41:00,7
2019-11-19 10:42:00,6
2019-11-19 10:43:00,7
2019-11-19 10:44:00,6
2019-11-19 10:45:00,6
2019-11-19 10:46:00,5
2019-11-19 10:47:00,5
2019-11-19 10:48:00,5
2019-11-19 10:49:00,5
2019-11-19 10:50:00,5
2019-11-19 10:51:00,6
2019-11-19 10:52:00,7
2019-11-19 10:53:00,7
2019-11-19 10:54:00,5
2019-11-19 10:55:00,5
2019-11-19 10:56:00,5
2019-11-19 10:57:00,7
2019-11-19 10:58:00,7
2019-11-19 10:59:00,4
