2928,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-11-19 10:25:00,10
2019-11-19 10:26:00,12
2019-11-19 10:27:00,20
2019-11-19 10:28:00,17
2019-11-19 10:29:00,19
2019-11-19 10:30:00,11
2019-11-19 10:31:00,9
2019-11-19 10:32:00,13
2019-11-19 10:33:00,11
2019-11-19 10:34:00,14
2019-11-19 10:35:00,15
2019-11-19 10:36:00,13
2019-11-19 10:37:00,12
2019-11-19 10:38:00,10
2019-11-19 10:39:00,11
2019-11-19 10:40:00,13
2019-11-19 10:41:00,13
2019-11-19 10:42:00,14
2019-11-19 10:43:00,12
2019-11-19 10:44:00,13
2019-11-19 10:45:00,11
2019-11-19 10:46:00,11
2019-11-19 10:47:00,10
2019-11-19 10:48:00,11
2019-11-19 10:49:00,12
2019-11-19 10:50:00,11
2019-11-19 10:51:00,12
2019-11-19 10:52:00,11
2019-11-19 10:53:00,11
2019-11-19 10:54:00,11
2019-11-19 10:55:00,11
2019-11-19 10:56:00,12
2019-11-19 10:57:00,11
2019-11-19 10:58:00,11
2019-11-19 10:59:00,11
2019-11-19 11:00:00,10
2019-11-19 11:01:00,11
2019-11-19 11:02:00,11
2019-11-19 11:03:00,11
2019-11-19 11:04:00,11
2019-11-19 11:05:00,10
2019-11-19 11:06:00,11
2019-11-19 11:07:00,11
2019-11-19 11:08:00,11
2019-11-19 11:09:00,10
2019-11-19 11:10:00,11
2019-11-19 11:11:00,10
2019-11-19 11:12:00,11
2019-11-19 11:13:00,10
2019-11-19 11:14:00,10
2019-11-19 11:15:00,10
2019-11-19 11:16:00,10
2019-11-19 11:17:00,9
2019-11-19 11:18:00,8
2019-11-19 11:19:00,8
2019-11-19 11:20:00,9
2019-11-19 11:21:00,10
2019-11-19 11:22:00,9
2019-11-19 11:23:00,9
2019-11-19 11:24:00,10
2019-11-19 11:25:00,9
2019-11-19 11:26:00,9
2019-11-19 11:27:00,9
2019-11-19 11:28:00,10
2019-11-19 11:29:00,3
2019-11-19 12:45:00,8
2019-11-19 12:46:00,33
2019-11-19 12:47:00,32
2019-11-19 12:48:00,31
2019-11-19 12:49:00,30
2019-11-19 12:50:00,30
2019-11-19 12:51:00,29
2019-11-19 12:52:00,29
2019-11-19 12:53:00,27
2019-11-19 12:54:00,27
2019-11-19 12:55:00,25
2019-11-19 12:56:00,25
2019-11-19 12:57:00,26
2019-11-19 12:58:00,25
2019-11-19 12:59:00,26
2019-11-19 13:00:00,21
2019-11-19 13:01:00,23
2019-11-19 13:02:00,21
2019-11-19 13:03:00,23
2019-11-19 13:04:00,20
2019-11-19 13:05:00,14
2019-11-19 13:06:00,13
2019-11-19 13:07:00,12
2019-11-19 13:08:00,15
2019-11-19 13:09:00,18
2019-11-19 13:10:00,17
2019-11-19 13:11:00,18
2019-11-19 13:12:00,20
2019-11-19 13:13:00,19
2019-11-19 13:14:00,18
2019-11-19 13:15:00,21
2019-11-19 13:16:00,20
2019-11-19 13:17:00,19
2019-11-19 13:18:00,9
2019-11-19 13:38:00,7
2019-11-19 13:39:00,36
2019-11-19 13:40:00,34
2019-11-19 13:41:00,34
2019-11-19 13:42:00,34
2019-11-19 13:43:00,34
2019-11-19 13:44:00,32
2019-11-19 13:45:00,31
2019-11-19 13:46:00,27
2019-11-19 13:47:00,27
2019-11-19 13:48:00,24
2019-11-19 13:49:00,24
2019-11-19 13:50:00,23
2019-11-19 13:51:00,22
2019-11-19 13:52:00,19
2019-11-19 13:53:00,21
2019-11-19 13:54:00,21
2019-11-19 13:55:00,21
2019-11-19 13:56:00,20
2019-11-19 13:57:00,20
2019-11-19 13:58:00,20
2019-11-19 13:59:00,20
2019-11-19 14:00:00,17
2019-11-19 14:01:00,18
2019-11-19 14:02:00,18
2019-11-19 14:03:00,19
2019-11-19 14:04:00,18
2019-11-19 14:05:00,18
2019-11-19 14:06:00,18
2019-11-19 14:07:00,17
2019-11-19 14:08:00,17
2019-11-19 14:09:00,9
2019-11-19 14:11:00,9
2019-11-19 14:12:00,33
2019-11-19 14:13:00,31
2019-11-19 14:14:00,28
2019-11-19 14:15:00,27
2019-11-19 14:16:00,26
2019-11-19 14:17:00,27
2019-11-19 14:18:00,25
2019-11-19 14:19:00,25
2019-11-19 14:20:00,24
2019-11-19 14:21:00,22
2019-11-19 14:22:00,23
2019-11-19 14:23:00,21
2019-11-19 14:24:00,21
2019-11-19 14:25:00,21
2019-11-19 14:26:00,20
2019-11-19 14:27:00,18
2019-11-19 14:28:00,17
2019-11-19 14:29:00,17
2019-11-19 14:30:00,18
2019-11-19 14:31:00,17
2019-11-19 14:32:00,16
2019-11-19 14:33:00,17
2019-11-19 14:34:00,16
2019-11-19 14:35:00,17
2019-11-19 14:36:00,17
2019-11-19 14:37:00,15
2019-11-19 14:38:00,16
2019-11-19 14:39:00,16
2019-11-19 14:40:00,15
2019-11-19 14:41:00,16
2019-11-19 14:42:00,15
2019-11-19 14:43:00,15
2019-11-19 14:44:00,15
2019-11-19 14:45:00,16
2019-11-19 14:46:00,15
2019-11-19 14:47:00,16
2019-11-19 14:48:00,15
2019-11-19 14:49:00,6
