12,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.u between # AND # AND p.g between # AND # AND p.i between # AND # AND p.r between # AND # AND p.z between # AND #"
2019-11-19 17:30:00,1
2019-11-19 17:34:00,1
2019-11-19 17:35:00,1
2019-11-19 17:45:00,1
2019-11-19 17:49:00,2
2019-11-19 17:51:00,1
2019-11-19 18:37:00,1
2019-11-19 18:47:00,1
2019-11-19 18:48:00,1
2019-11-19 23:15:00,1
2019-11-19 23:22:00,1
