20,"SELECT p.objid,p.ra,p.dec,p.raErr,p.decErr,p.u,p.g,p.r,p.i,p.z,p.err_u,p.err_g,p.err_r,p.err_i,p.err_z,p.fiber2Mag_u,p.fiber2Mag_g,p.fiber2Mag_r,p.fiber2Mag_i,p.fiber2Mag_z,p.fiber2MagErr_u,p.fiber2MagErr_g,p.fiber2MagErr_r,p.fiber2MagErr_i,p.fiber2MagErr_z,p.mjd FROM PhotoObj AS p WHERE   p.ra BETWEEN # AND #  AND p.dec BETWEEN # AND #  AND p.type = #"
2019-11-19 15:25:00,1
2019-11-19 15:26:00,1
2019-11-19 15:29:00,2
2019-11-19 15:33:00,2
2019-11-19 15:37:00,2
2019-11-19 15:41:00,2
2019-11-19 15:44:00,1
2019-11-19 15:45:00,1
2019-11-19 15:48:00,2
2019-11-19 15:51:00,2
2019-11-19 15:54:00,2
2019-11-19 15:56:00,2
