1314,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-11-19 14:05:00,25
2019-11-19 15:07:00,21
2019-11-19 15:18:00,37
2019-11-19 15:19:00,74
2019-11-19 15:25:00,320
2019-11-19 15:26:00,141
2019-11-19 15:43:00,35
2019-11-19 15:44:00,13
2019-11-19 15:56:00,29
2019-11-19 15:57:00,5
2019-11-19 16:00:00,22
2019-11-19 16:05:00,224
2019-11-19 16:34:00,176
2019-11-19 16:35:00,146
2019-11-19 16:49:00,29
2019-11-19 16:50:00,17
