308,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-11-19 06:20:00,2
2019-11-19 07:35:00,7
2019-11-19 09:45:00,13
2019-11-19 12:25:00,7
2019-11-19 12:35:00,16
2019-11-19 15:05:00,1
2019-11-19 15:25:00,2
2019-11-19 15:30:00,1
2019-11-19 15:35:00,31
2019-11-19 15:36:00,28
2019-11-19 15:37:00,30
2019-11-19 15:38:00,27
2019-11-19 15:39:00,30
2019-11-19 15:40:00,32
2019-11-19 15:41:00,34
2019-11-19 15:42:00,34
2019-11-19 15:43:00,3
2019-11-19 18:15:00,10
