18,"SELECT p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type FROM PhotoPrimary AS p WHERE (p.type = dbo.fPhotoType(&&&) OR p.type = dbo.fPhotoType(&&&) ) AND p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-11-19 09:10:00,1
2019-11-19 09:15:00,1
2019-11-19 09:25:00,1
2019-11-19 09:46:00,1
2019-11-19 09:52:00,1
2019-11-19 09:53:00,2
2019-11-19 09:58:00,1
2019-11-19 10:20:00,1
2019-11-19 10:41:00,1
2019-11-19 10:47:00,1
2019-11-19 10:54:00,1
2019-11-19 10:58:00,1
2019-11-19 10:59:00,1
2019-11-19 11:13:00,1
2019-11-19 11:14:00,1
2019-11-19 11:19:00,1
2019-11-19 16:58:00,1
