61,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-10-26 01:08:00,2
2019-10-26 01:09:00,2
2019-10-26 01:15:00,4
2019-10-26 01:19:00,3
2019-10-26 01:22:00,4
2019-10-26 01:23:00,4
2019-10-26 01:24:00,4
2019-10-26 01:25:00,4
2019-10-26 01:26:00,4
2019-10-26 01:27:00,4
2019-10-26 01:28:00,2
2019-10-26 01:30:00,2
2019-10-26 01:31:00,2
2019-10-26 01:32:00,2
2019-10-26 01:35:00,4
2019-10-26 01:36:00,1
2019-10-26 01:37:00,3
2019-10-26 01:38:00,4
2019-10-26 01:39:00,2
2019-10-26 08:19:00,4
