399,"select top # p.*,   s.z as zspec,   s.zErr as zspec_err, s.zWarning, s.class,   s.subclass, s.primTarget,   s.spectroFlux_u, s.spectroFlux_g, s.spectroFlux_r, s.spectroFlux_i, s.spectroFlux_z,   s.spectroFluxIvar_u, s.spectroFluxIvar_g, s.spectroFluxIvar_r, s.spectroFluxIvar_i, s.spectroFluxIvar_z,   s.snMedian_u, s.snMedian_g, s.snMedian_r, s.snMedian_i, s.snMedian_z  from Galaxy as p, SpecObj as s  where   p.mode = # AND s.zWarning = # AND p.specObjId = s.specObjId AND p.clean = #   AND p.ra > # AND p.ra < # AND p.dec > # AND p.dec < #"
2019-10-26 00:01:00,6
2019-10-26 00:02:00,17
2019-10-26 00:03:00,19
2019-10-26 00:04:00,10
2019-10-26 00:05:00,2
2019-10-26 00:06:00,2
2019-10-26 00:07:00,6
2019-10-26 00:08:00,5
2019-10-26 00:09:00,15
2019-10-26 00:10:00,6
2019-10-26 00:11:00,4
2019-10-26 00:14:00,5
2019-10-26 00:15:00,1
2019-10-26 00:16:00,1
2019-10-26 00:21:00,2
2019-10-26 00:22:00,1
2019-10-26 00:25:00,1
2019-10-26 00:27:00,1
2019-10-26 00:31:00,4
2019-10-26 00:34:00,1
2019-10-26 00:36:00,1
2019-10-26 00:40:00,47
2019-10-26 00:41:00,50
2019-10-26 00:42:00,6
2019-10-26 00:43:00,6
2019-10-26 00:44:00,9
2019-10-26 00:45:00,7
2019-10-26 00:46:00,2
2019-10-26 00:48:00,2
2019-10-26 00:49:00,1
2019-10-26 00:50:00,3
2019-10-26 00:51:00,5
2019-10-26 00:52:00,1
2019-10-26 00:54:00,2
2019-10-26 00:55:00,2
2019-10-26 00:57:00,1
2019-10-26 00:59:00,5
2019-10-26 01:00:00,2
2019-10-26 01:01:00,14
2019-10-26 01:03:00,8
2019-10-26 01:04:00,24
2019-10-26 01:05:00,6
2019-10-26 01:06:00,5
2019-10-26 01:07:00,10
2019-10-26 01:08:00,3
2019-10-26 01:09:00,4
2019-10-26 01:10:00,1
2019-10-26 01:11:00,4
2019-10-26 01:12:00,2
2019-10-26 01:13:00,1
2019-10-26 01:14:00,7
2019-10-26 01:15:00,1
2019-10-26 01:16:00,1
2019-10-26 01:18:00,7
2019-10-26 01:19:00,7
2019-10-26 01:20:00,7
2019-10-26 01:21:00,2
2019-10-26 01:22:00,22
2019-10-26 01:23:00,2
