487478,"select ObjID,ra,dec,dbo.fIAUFromEq(ra,dec) FROM PhotoObj WHERE ObjID=#"
2019-10-26 00:00:00,387
2019-10-26 00:01:00,351
2019-10-26 00:02:00,351
2019-10-26 00:03:00,228
2019-10-26 00:04:00,301
2019-10-26 00:05:00,371
2019-10-26 00:06:00,362
2019-10-26 00:07:00,379
2019-10-26 00:08:00,351
2019-10-26 00:09:00,367
2019-10-26 00:10:00,315
2019-10-26 00:11:00,381
2019-10-26 00:12:00,375
2019-10-26 00:13:00,370
2019-10-26 00:14:00,364
2019-10-26 00:15:00,389
2019-10-26 00:16:00,393
2019-10-26 00:17:00,386
2019-10-26 00:18:00,389
2019-10-26 00:19:00,399
2019-10-26 00:20:00,362
2019-10-26 00:21:00,368
2019-10-26 00:22:00,380
2019-10-26 00:23:00,365
2019-10-26 00:24:00,336
2019-10-26 00:25:00,391
2019-10-26 00:26:00,380
2019-10-26 00:27:00,391
2019-10-26 00:28:00,390
2019-10-26 00:29:00,390
2019-10-26 00:30:00,394
2019-10-26 00:31:00,343
2019-10-26 00:32:00,390
2019-10-26 00:33:00,403
2019-10-26 00:34:00,391
2019-10-26 00:35:00,326
2019-10-26 00:36:00,386
2019-10-26 00:37:00,384
2019-10-26 00:38:00,351
2019-10-26 00:39:00,352
2019-10-26 00:40:00,403
2019-10-26 00:41:00,397
2019-10-26 00:42:00,401
2019-10-26 00:43:00,385
2019-10-26 00:44:00,379
2019-10-26 00:45:00,363
2019-10-26 00:46:00,393
2019-10-26 00:47:00,400
2019-10-26 00:48:00,375
2019-10-26 00:49:00,399
2019-10-26 00:50:00,395
2019-10-26 00:51:00,368
2019-10-26 00:52:00,342
2019-10-26 00:53:00,289
2019-10-26 00:54:00,369
2019-10-26 00:55:00,365
2019-10-26 00:56:00,369
2019-10-26 00:57:00,382
2019-10-26 00:58:00,341
2019-10-26 00:59:00,292
2019-10-26 01:00:00,342
2019-10-26 01:01:00,347
2019-10-26 01:02:00,348
2019-10-26 01:03:00,338
2019-10-26 01:04:00,342
2019-10-26 01:05:00,360
2019-10-26 01:06:00,309
2019-10-26 01:07:00,266
2019-10-26 01:08:00,354
2019-10-26 01:09:00,368
2019-10-26 01:10:00,349
2019-10-26 01:11:00,352
2019-10-26 01:12:00,371
2019-10-26 01:13:00,348
2019-10-26 01:14:00,356
2019-10-26 01:15:00,364
2019-10-26 01:16:00,352
2019-10-26 01:17:00,357
2019-10-26 01:18:00,216
2019-10-26 01:19:00,380
2019-10-26 01:20:00,371
2019-10-26 01:21:00,327
2019-10-26 01:22:00,398
2019-10-26 01:23:00,403
2019-10-26 01:24:00,399
2019-10-26 01:25:00,390
2019-10-26 01:26:00,403
2019-10-26 01:27:00,388
2019-10-26 01:28:00,378
2019-10-26 01:29:00,309
2019-10-26 01:30:00,336
2019-10-26 01:31:00,393
2019-10-26 01:32:00,390
2019-10-26 01:33:00,387
2019-10-26 01:34:00,367
2019-10-26 01:35:00,311
2019-10-26 01:36:00,398
2019-10-26 01:37:00,365
2019-10-26 01:38:00,400
2019-10-26 01:39:00,405
2019-10-26 01:40:00,348
2019-10-26 01:41:00,399
2019-10-26 01:42:00,374
2019-10-26 01:43:00,348
2019-10-26 01:44:00,345
2019-10-26 01:45:00,399
2019-10-26 01:46:00,316
2019-10-26 01:47:00,356
2019-10-26 01:48:00,338
2019-10-26 01:49:00,322
