4,"select county, C=centroid.ToString(), SRID=centroid.STSrid, dist=centroid.STDistance(@center)     from optw.tamass.TRACTS     where state=#         and centroid.STDistance(@center) < # -- meters     order by # asc"
2019-10-26 16:56:00,1
2019-10-26 16:57:00,2
2019-10-26 16:58:00,1
