10056,"SELECT top # ra,dec,u,g,r,i,z,GNOE.distance*# FROM PhotoObj as PT JOIN dbo.fGetNearbyObjEq(#,#,#) as GNOE on PT.objID = GNOE.objID ORDER BY GNOE.distance"
2019-10-26 00:00:00,3
2019-10-26 00:01:00,31
2019-10-26 00:02:00,40
2019-10-26 00:03:00,8
2019-10-26 00:04:00,25
2019-10-26 00:05:00,18
2019-10-26 00:06:00,29
2019-10-26 00:07:00,22
2019-10-26 00:08:00,7
2019-10-26 00:09:00,37
2019-10-26 00:10:00,12
2019-10-26 00:11:00,39
2019-10-26 00:12:00,42
2019-10-26 00:13:00,37
2019-10-26 00:14:00,28
2019-10-26 00:15:00,12
2019-10-26 00:16:00,36
2019-10-26 00:17:00,5
2019-10-26 00:18:00,40
2019-10-26 00:19:00,37
2019-10-26 00:20:00,11
2019-10-26 00:21:00,20
2019-10-26 00:22:00,20
2019-10-26 00:23:00,9
2019-10-26 00:24:00,4
2019-10-26 00:25:00,26
2019-10-26 00:26:00,28
2019-10-26 00:27:00,27
2019-10-26 00:28:00,40
2019-10-26 00:29:00,41
2019-10-26 00:30:00,43
2019-10-26 00:31:00,41
2019-10-26 00:32:00,43
2019-10-26 00:33:00,45
2019-10-26 00:34:00,43
2019-10-26 00:35:00,44
2019-10-26 00:36:00,38
2019-10-26 00:37:00,43
2019-10-26 00:38:00,41
2019-10-26 00:39:00,42
2019-10-26 00:40:00,31
2019-10-26 00:41:00,23
2019-10-26 00:42:00,28
2019-10-26 00:43:00,29
2019-10-26 00:44:00,33
2019-10-26 00:45:00,11
2019-10-26 00:46:00,31
2019-10-26 00:47:00,37
2019-10-26 00:48:00,7
2019-10-26 01:02:00,1
2019-10-26 01:04:00,25
2019-10-26 01:05:00,39
2019-10-26 01:06:00,34
2019-10-26 01:07:00,35
2019-10-26 01:08:00,32
2019-10-26 01:09:00,30
2019-10-26 01:10:00,34
2019-10-26 01:11:00,37
2019-10-26 01:12:00,37
2019-10-26 01:13:00,36
2019-10-26 01:14:00,35
2019-10-26 01:15:00,39
2019-10-26 01:16:00,36
2019-10-26 01:17:00,40
2019-10-26 01:18:00,29
2019-10-26 01:19:00,37
2019-10-26 01:20:00,34
2019-10-26 01:21:00,39
2019-10-26 01:22:00,25
2019-10-26 01:23:00,40
2019-10-26 01:24:00,41
2019-10-26 01:25:00,38
2019-10-26 01:26:00,34
2019-10-26 01:27:00,41
2019-10-26 01:28:00,41
2019-10-26 01:29:00,40
2019-10-26 01:30:00,43
2019-10-26 01:31:00,44
2019-10-26 01:32:00,43
2019-10-26 01:33:00,44
2019-10-26 01:34:00,43
2019-10-26 01:35:00,41
2019-10-26 01:36:00,44
2019-10-26 01:37:00,44
2019-10-26 01:38:00,45
2019-10-26 01:39:00,44
2019-10-26 01:40:00,44
2019-10-26 01:41:00,44
2019-10-26 01:42:00,43
2019-10-26 01:43:00,41
2019-10-26 01:44:00,43
2019-10-26 01:45:00,44
2019-10-26 01:46:00,44
2019-10-26 01:47:00,43
2019-10-26 01:48:00,41
2019-10-26 01:49:00,40
2019-10-26 01:50:00,43
2019-10-26 01:51:00,44
2019-10-26 01:52:00,43
2019-10-26 01:53:00,44
2019-10-26 01:54:00,44
2019-10-26 01:55:00,43
2019-10-26 01:56:00,43
2019-10-26 01:57:00,43
2019-10-26 01:58:00,43
2019-10-26 01:59:00,44
2019-10-26 02:00:00,43
2019-10-26 02:01:00,44
2019-10-26 02:02:00,43
2019-10-26 02:03:00,41
2019-10-26 02:04:00,41
2019-10-26 02:05:00,41
2019-10-26 02:06:00,44
2019-10-26 02:07:00,43
2019-10-26 02:08:00,44
2019-10-26 02:09:00,43
2019-10-26 02:10:00,41
2019-10-26 02:11:00,44
2019-10-26 02:12:00,44
2019-10-26 02:13:00,44
2019-10-26 02:14:00,44
2019-10-26 02:15:00,42
2019-10-26 02:16:00,44
2019-10-26 02:17:00,43
2019-10-26 02:18:00,40
2019-10-26 02:19:00,44
2019-10-26 02:20:00,44
2019-10-26 02:21:00,44
2019-10-26 02:22:00,44
2019-10-26 02:23:00,43
2019-10-26 02:24:00,39
2019-10-26 02:25:00,42
2019-10-26 02:26:00,44
2019-10-26 02:27:00,44
2019-10-26 02:28:00,44
2019-10-26 02:29:00,44
2019-10-26 02:30:00,44
2019-10-26 02:31:00,43
2019-10-26 02:32:00,44
2019-10-26 02:33:00,43
2019-10-26 02:34:00,44
2019-10-26 02:35:00,44
2019-10-26 02:36:00,44
2019-10-26 02:37:00,40
2019-10-26 02:38:00,42
2019-10-26 02:39:00,42
2019-10-26 02:40:00,45
