736,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-09-23 12:44:00,1
2019-09-23 12:45:00,1
2019-09-23 12:47:00,1
2019-09-23 12:49:00,1
2019-09-23 13:13:00,6
2019-09-23 13:14:00,2
2019-09-23 13:15:00,4
2019-09-23 13:22:00,1
2019-09-23 13:24:00,1
2019-09-23 13:26:00,1
2019-09-23 13:28:00,1
2019-09-23 14:03:00,1
2019-09-23 14:05:00,1
2019-09-23 14:08:00,1
2019-09-23 14:11:00,1
2019-09-23 14:46:00,2
2019-09-23 14:51:00,2
2019-09-23 14:55:00,2
2019-09-23 14:59:00,2
2019-09-23 16:42:00,18
2019-09-23 16:43:00,18
2019-09-23 16:44:00,30
2019-09-23 16:45:00,30
2019-09-23 16:46:00,28
2019-09-23 16:47:00,24
2019-09-23 16:48:00,28
2019-09-23 16:49:00,30
2019-09-23 16:50:00,26
2019-09-23 16:51:00,28
2019-09-23 16:52:00,30
2019-09-23 16:53:00,34
2019-09-23 16:54:00,28
2019-09-23 16:55:00,30
2019-09-23 16:56:00,26
2019-09-23 16:57:00,24
2019-09-23 16:58:00,28
2019-09-23 16:59:00,30
2019-09-23 17:00:00,22
2019-09-23 17:01:00,34
2019-09-23 17:02:00,26
2019-09-23 17:03:00,26
2019-09-23 17:04:00,22
2019-09-23 17:05:00,24
2019-09-23 17:06:00,22
2019-09-23 17:07:00,20
2019-09-23 17:08:00,18
