86,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-10-16 00:22:00,9
2019-10-16 00:45:00,1
2019-10-16 00:58:00,1
2019-10-16 01:46:00,1
2019-10-16 02:45:00,1
2019-10-16 03:45:00,1
2019-10-16 04:45:00,1
2019-10-16 05:45:00,1
2019-10-16 06:46:00,1
2019-10-16 07:19:00,5
2019-10-16 07:20:00,4
2019-10-16 07:45:00,1
2019-10-16 08:44:00,1
2019-10-16 09:45:00,1
2019-10-16 10:17:00,1
2019-10-16 10:45:00,1
2019-10-16 11:45:00,1
2019-10-16 12:45:00,1
2019-10-16 13:45:00,1
2019-10-16 14:37:00,7
2019-10-16 14:38:00,2
2019-10-16 14:45:00,1
2019-10-16 15:15:00,1
2019-10-16 15:44:00,9
2019-10-16 15:45:00,1
2019-10-16 15:46:00,9
2019-10-16 16:32:00,6
2019-10-16 16:33:00,3
2019-10-16 16:47:00,1
2019-10-16 17:11:00,7
2019-10-16 17:12:00,2
2019-10-16 17:45:00,1
2019-10-16 18:46:00,1
2019-10-16 19:45:00,1
