6699,"SELECT p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid,GN.distance, ms.logMass,ms.logMass_err FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON p.objID = GN.objID JOIN stellarMassFSPSGranEarlyDust as ms ON s.specobjid=ms.specobjid WHERE s.z># AND s.z<#"
2019-10-16 03:59:00,1
2019-10-16 04:00:00,27
2019-10-16 04:01:00,107
2019-10-16 04:02:00,110
2019-10-16 04:03:00,128
2019-10-16 04:04:00,125
2019-10-16 04:05:00,129
2019-10-16 04:06:00,127
2019-10-16 04:07:00,129
2019-10-16 04:08:00,145
2019-10-16 04:09:00,123
2019-10-16 04:10:00,122
2019-10-16 04:11:00,126
2019-10-16 04:12:00,102
2019-10-16 04:13:00,96
2019-10-16 04:14:00,117
2019-10-16 04:15:00,115
2019-10-16 04:16:00,103
2019-10-16 04:17:00,95
2019-10-16 04:18:00,140
2019-10-16 04:19:00,117
2019-10-16 04:20:00,131
2019-10-16 04:21:00,131
2019-10-16 04:22:00,111
2019-10-16 04:23:00,108
2019-10-16 04:24:00,124
2019-10-16 04:25:00,107
2019-10-16 04:26:00,97
2019-10-16 04:27:00,99
2019-10-16 04:28:00,87
2019-10-16 04:29:00,66
2019-10-16 04:30:00,106
2019-10-16 04:31:00,124
2019-10-16 04:32:00,108
2019-10-16 04:33:00,103
2019-10-16 04:34:00,111
2019-10-16 04:35:00,128
2019-10-16 04:36:00,111
2019-10-16 04:37:00,116
2019-10-16 04:38:00,117
2019-10-16 04:39:00,97
2019-10-16 04:40:00,103
2019-10-16 04:41:00,93
2019-10-16 04:42:00,129
2019-10-16 04:43:00,117
2019-10-16 04:44:00,126
2019-10-16 04:45:00,115
2019-10-16 04:46:00,122
2019-10-16 04:47:00,117
2019-10-16 04:48:00,117
2019-10-16 04:49:00,101
2019-10-16 04:50:00,104
2019-10-16 04:51:00,120
2019-10-16 04:52:00,93
2019-10-16 04:53:00,108
2019-10-16 04:54:00,115
2019-10-16 04:55:00,121
2019-10-16 04:56:00,128
2019-10-16 04:57:00,111
2019-10-16 04:58:00,131
2019-10-16 04:59:00,61
2019-10-16 05:02:00,1
