3,"SELECT TOP #  p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.ra, p.dec FROM PhotoObjAll AS p WHERE p.run = #"
2019-10-16 09:22:00,1
2019-10-16 09:23:00,2
