9,"SELECT TOP # u, g, r, i, z FROM Galaxy   WHERE   (htmid*# & #)   < (# * #)  &&&#&&&#"
2019-10-16 07:42:00,1
2019-10-16 07:43:00,1
2019-10-16 07:46:00,2
2019-10-16 07:47:00,5
