5717,"SELECT p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid,GN.distance, ms.logMass,ms.logMass_err FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON p.objID = GN.objID JOIN stellarMassFSPSGranEarlyDust as ms ON s.specobjid=ms.specobjid"
2019-10-16 03:58:00,2
2019-10-16 04:00:00,23
2019-10-16 04:01:00,91
2019-10-16 04:02:00,98
2019-10-16 04:03:00,114
2019-10-16 04:04:00,104
2019-10-16 04:05:00,101
2019-10-16 04:06:00,105
2019-10-16 04:07:00,115
2019-10-16 04:08:00,113
2019-10-16 04:09:00,103
2019-10-16 04:10:00,110
2019-10-16 04:11:00,103
2019-10-16 04:12:00,89
2019-10-16 04:13:00,83
2019-10-16 04:14:00,103
2019-10-16 04:15:00,97
2019-10-16 04:16:00,93
2019-10-16 04:17:00,80
2019-10-16 04:18:00,115
2019-10-16 04:19:00,103
2019-10-16 04:20:00,116
2019-10-16 04:21:00,117
2019-10-16 04:22:00,97
2019-10-16 04:23:00,89
2019-10-16 04:24:00,102
2019-10-16 04:25:00,82
2019-10-16 04:26:00,84
2019-10-16 04:27:00,89
2019-10-16 04:28:00,70
2019-10-16 04:29:00,58
2019-10-16 04:30:00,93
2019-10-16 04:31:00,107
2019-10-16 04:32:00,94
2019-10-16 04:33:00,92
2019-10-16 04:34:00,86
2019-10-16 04:35:00,108
2019-10-16 04:36:00,89
2019-10-16 04:37:00,103
2019-10-16 04:38:00,103
2019-10-16 04:39:00,87
2019-10-16 04:40:00,91
2019-10-16 04:41:00,80
2019-10-16 04:42:00,115
2019-10-16 04:43:00,94
2019-10-16 04:44:00,109
2019-10-16 04:45:00,91
2019-10-16 04:46:00,111
2019-10-16 04:47:00,101
2019-10-16 04:48:00,101
2019-10-16 04:49:00,86
2019-10-16 04:50:00,88
2019-10-16 04:51:00,103
2019-10-16 04:52:00,83
2019-10-16 04:53:00,89
2019-10-16 04:54:00,103
2019-10-16 04:55:00,101
2019-10-16 04:56:00,102
2019-10-16 04:57:00,97
2019-10-16 04:58:00,106
2019-10-16 04:59:00,55
