10,"SELECT TOP # g,r,r,err_g,err_r,ra,dec, flags_r  FROM Galaxy  WHERE  ra BETWEEN # and # AND dec BETWEEN # and #  AND ((flags_r & #) != #)  AND ((flags_r & #) = #)   AND (((flags_r & #) = #) or (psfmagerr_r <= #))  AND (((flags_r & #) = #) or (flags_r & #) = #)"
2019-10-16 06:06:00,1
2019-10-16 15:14:00,1
2019-10-16 15:26:00,1
2019-10-16 15:27:00,1
2019-10-16 19:01:00,1
2019-10-16 19:04:00,1
2019-10-16 19:07:00,1
2019-10-16 22:03:00,1
2019-10-16 22:05:00,1
2019-10-16 22:06:00,1
