2,"SELECT TOP #  p.objid, p.skyversion, p.run, p.rerun, p.camcol, p.field, p.obj, p.ra, p.dec FROM PhotoObj AS p"
2019-10-16 09:30:00,1
2019-10-16 09:32:00,1
