5,"SELECT TOP # s.SpecObjID, s.z, L.ew, L.sigma, L.height, dbo.fCosmoDl(s.z), wave, restWave SFR from SpecPhoto as s   JOIN SpecLine as L    ON s.specObjID = L.specObjID  WHERE s.specClass = # AND L.lineID = # AND L.ew > # AND L.height > # AND abs(s.z-#)< #"
2019-10-16 16:14:00,2
2019-10-16 16:15:00,3
