9,"SELECT TOP # g,r,err_r,err_g,ra,dec, flags_r  FROM Galaxy  WHERE  ra BETWEEN # and # AND dec BETWEEN # and #  AND ((flags_r & #) != #)  AND ((flags_r & #) = #)   AND (((flags_r & #) = #) or (psfmagerr_r <= #))  AND (((flags_r & #) = #) or (flags_r & #) = #)"
2019-10-16 19:54:00,2
2019-10-16 19:55:00,1
2019-10-16 19:57:00,2
2019-10-16 19:58:00,1
2019-10-16 20:34:00,2
2019-10-16 20:54:00,1
