14,"select p.objid as name, p.ra, p.dec from photoObj p join dbo.fgetnearbyobjeq(#,#,#) n on p.objid=n.objid join specObj s on p.objid=s.bestobjid where p.petrorad_r > # and p.r < # and s.Class=&&& and s.z >= # and s.z < #"
2019-05-23 13:23:00,1
2019-05-23 13:25:00,1
2019-05-23 13:26:00,1
2019-05-23 13:43:00,1
2019-05-23 13:44:00,1
2019-05-23 13:46:00,1
2019-05-23 13:50:00,1
2019-05-23 13:51:00,1
2019-05-23 13:52:00,1
2019-05-23 13:54:00,1
2019-05-23 13:55:00,1
2019-05-23 13:57:00,1
2019-05-23 14:04:00,1
2019-05-23 14:15:00,1
