2,"SELECT TOP #    s.*, p.*, zoo.*          INTO mydb.SpecZoo2 FROM PhotoObjAll AS p        JOIN SpecObjAll AS s ON s.specObjID = p.specObjID   JOIN zoo2MainSpecz AS zoo ON zoo.specobjid = p.specobjid      WHERE     s.class = &&&     AND s.zwarning = #     AND zoo.total_votes> #     AND p.clean = #"
2019-05-23 16:43:00,1
2019-05-23 16:49:00,1
