23,"SELECT po.objID, po.ra , po.raErr, po.dec, po.decErr, so.z, so.zErr FROM PhotoObj as po JOIN SpecObj as so ON so.bestObjID=po.objID WHERE po.ra BETWEEN # and # AND po.dec BETWEEN # and # AND so.z < # AND so.z > # AND po.type=#"
2019-05-23 05:14:00,1
2019-05-23 05:18:00,1
2019-05-23 05:21:00,1
2019-05-23 05:25:00,1
2019-05-23 05:28:00,1
2019-05-23 05:31:00,1
2019-05-23 05:42:00,1
2019-05-23 05:43:00,1
2019-05-23 05:45:00,1
2019-05-23 05:46:00,1
2019-05-23 05:51:00,1
2019-05-23 05:52:00,1
2019-05-23 05:56:00,1
2019-05-23 06:00:00,1
2019-05-23 06:08:00,1
2019-05-23 06:16:00,1
2019-05-23 06:18:00,1
2019-05-23 06:19:00,1
2019-05-23 06:25:00,1
2019-05-23 06:34:00,1
2019-05-23 06:40:00,1
2019-05-23 06:41:00,1
2019-05-23 06:47:00,1
