15,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-05-23 04:25:00,2
2019-05-23 07:35:00,1
2019-05-23 07:37:00,1
2019-05-23 07:40:00,1
2019-05-23 07:45:00,1
2019-05-23 07:55:00,1
2019-05-23 08:12:00,1
2019-05-23 12:25:00,1
2019-05-23 17:04:00,1
2019-05-23 17:06:00,1
2019-05-23 17:09:00,1
2019-05-23 17:14:00,1
2019-05-23 17:23:00,1
2019-05-23 17:40:00,1
