44716,"SELECT d.*, s.class, s.subclass FROM dbo.fGetNearestSpecObjAllEq(#,#,#) as d, SpecObjAll as s WHERE d.specObjID = s.specObjID"
2019-05-23 17:19:00,101
2019-05-23 17:26:00,140
2019-05-23 18:17:00,114
2019-05-23 18:18:00,842
2019-05-23 18:19:00,602
2019-05-23 18:20:00,43
2019-05-23 18:21:00,198
2019-05-23 18:22:00,1
2019-05-23 18:47:00,113
2019-05-23 18:48:00,475
2019-05-23 18:49:00,1027
2019-05-23 18:50:00,919
2019-05-23 18:51:00,866
2019-05-23 18:52:00,808
2019-05-23 18:53:00,813
2019-05-23 18:54:00,835
2019-05-23 18:55:00,865
2019-05-23 18:56:00,825
2019-05-23 18:57:00,805
2019-05-23 18:58:00,800
2019-05-23 18:59:00,853
2019-05-23 19:00:00,828
2019-05-23 19:01:00,837
2019-05-23 19:02:00,829
2019-05-23 19:03:00,803
2019-05-23 19:04:00,855
2019-05-23 19:05:00,805
2019-05-23 19:06:00,802
2019-05-23 19:07:00,823
2019-05-23 19:08:00,854
2019-05-23 19:09:00,818
2019-05-23 19:10:00,793
2019-05-23 19:11:00,896
2019-05-23 19:12:00,828
2019-05-23 19:13:00,787
2019-05-23 19:14:00,830
2019-05-23 19:15:00,794
2019-05-23 19:16:00,825
2019-05-23 19:17:00,864
2019-05-23 19:18:00,832
2019-05-23 19:19:00,797
2019-05-23 19:20:00,846
2019-05-23 19:21:00,781
2019-05-23 19:22:00,715
2019-05-23 19:23:00,839
2019-05-23 19:24:00,872
2019-05-23 19:25:00,749
2019-05-23 19:26:00,895
2019-05-23 19:27:00,806
2019-05-23 19:28:00,795
2019-05-23 19:29:00,787
2019-05-23 19:30:00,854
2019-05-23 19:31:00,855
2019-05-23 19:32:00,841
2019-05-23 19:33:00,802
2019-05-23 19:34:00,791
2019-05-23 19:35:00,837
2019-05-23 19:36:00,855
2019-05-23 19:37:00,837
2019-05-23 19:38:00,829
2019-05-23 19:39:00,585
