45,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-05-23 14:02:00,1
2019-05-23 14:13:00,1
2019-05-23 17:29:00,1
2019-05-23 17:38:00,1
2019-05-23 17:42:00,2
2019-05-23 17:53:00,1
2019-05-23 17:58:00,1
2019-05-23 18:11:00,1
2019-05-23 18:15:00,2
2019-05-23 18:17:00,2
2019-05-23 18:20:00,1
2019-05-23 18:24:00,1
2019-05-23 18:26:00,1
2019-05-23 18:28:00,1
2019-05-23 18:33:00,1
2019-05-23 18:34:00,1
2019-05-23 18:35:00,2
2019-05-23 18:38:00,1
2019-05-23 18:44:00,1
2019-05-23 18:54:00,1
2019-05-23 19:06:00,1
2019-05-23 19:07:00,1
2019-05-23 19:13:00,1
2019-05-23 19:20:00,1
2019-05-23 19:35:00,1
2019-05-23 19:37:00,1
2019-05-23 19:39:00,1
2019-05-23 19:42:00,1
2019-05-23 19:46:00,2
2019-05-23 19:48:00,1
2019-05-23 19:54:00,1
2019-05-23 19:59:00,1
2019-05-23 20:05:00,1
2019-05-23 21:09:00,2
2019-05-23 21:10:00,1
2019-05-23 21:15:00,1
2019-05-23 21:56:00,1
2019-05-23 22:06:00,1
2019-05-23 22:23:00,1
