4,"SELECT    p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM PhotoObj AS p WHERE   CLEAN = #   AND p.g < #   AND p.u - p.g BETWEEN # AND #   AND p.g - p.r BETWEEN # AND #   AND p.r - p.i BETWEEN # AND #"
2019-05-23 00:19:00,2
2019-05-23 00:20:00,1
2019-05-23 00:23:00,1
