39,"select p.ObjID, p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i,p.Err_i, p.z, p.Err_z from photoObj p, dbo.fGetNearbyObjEq(#,#,#) n where p.objID = n.objID AND p.type = #"
2019-05-23 00:00:00,1
2019-05-23 04:42:00,1
2019-05-23 04:49:00,1
2019-05-23 04:50:00,1
2019-05-23 04:51:00,1
2019-05-23 04:52:00,1
2019-05-23 04:59:00,1
2019-05-23 05:00:00,1
2019-05-23 05:01:00,1
2019-05-23 05:03:00,1
2019-05-23 05:09:00,1
2019-05-23 05:10:00,1
2019-05-23 06:38:00,1
2019-05-23 06:43:00,1
2019-05-23 06:47:00,1
2019-05-23 22:59:00,2
2019-05-23 23:01:00,1
2019-05-23 23:04:00,1
2019-05-23 23:06:00,1
2019-05-23 23:09:00,1
2019-05-23 23:10:00,1
2019-05-23 23:12:00,1
2019-05-23 23:14:00,1
2019-05-23 23:17:00,1
2019-05-23 23:19:00,1
2019-05-23 23:21:00,1
2019-05-23 23:23:00,1
2019-05-23 23:26:00,1
2019-05-23 23:28:00,1
2019-05-23 23:31:00,1
2019-05-23 23:33:00,1
2019-05-23 23:35:00,1
2019-05-23 23:37:00,1
2019-05-23 23:39:00,1
2019-05-23 23:41:00,1
2019-05-23 23:43:00,1
2019-05-23 23:45:00,1
2019-05-23 23:47:00,1
