19,select * from wise_xmatch x join wise_allsky a on x.wise_cntr=a.cntr where x.sdss_objid=#
2019-05-23 01:56:00,1
2019-05-23 02:24:00,1
2019-05-23 07:19:00,1
2019-05-23 11:06:00,1
2019-05-23 11:13:00,1
2019-05-23 15:14:00,1
2019-05-23 15:15:00,1
2019-05-23 15:16:00,1
2019-05-23 15:17:00,1
2019-05-23 15:31:00,1
2019-05-23 15:32:00,1
2019-05-23 15:33:00,1
2019-05-23 15:34:00,1
2019-05-23 15:35:00,1
2019-05-23 15:36:00,1
2019-05-23 16:47:00,1
2019-05-23 18:12:00,1
2019-05-23 18:55:00,1
2019-05-23 21:41:00,1
