33,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-09-03 02:04:00,2
2019-09-03 02:05:00,1
2019-09-03 02:06:00,2
2019-09-03 02:08:00,1
2019-09-03 02:09:00,1
2019-09-03 02:17:00,2
2019-09-03 02:18:00,5
2019-09-03 02:19:00,1
2019-09-03 09:21:00,1
2019-09-03 09:22:00,1
2019-09-03 09:23:00,2
2019-09-03 09:25:00,2
2019-09-03 15:28:00,2
2019-09-03 15:32:00,2
2019-09-03 15:34:00,2
2019-09-03 15:35:00,2
2019-09-03 15:36:00,2
2019-09-03 15:39:00,2
