2,"SELECT TOP # p.ra,p.dec,p.petroMag_u,p.petroMag_g,p.petroMag_r,p.petroMag_i,p.petroMag_z,p.petroMagErr_u,p.petroMagErr_g,p.petroMagErr_r,p.petroMagErr_i,p.petroMagErr_z, &&& as filter FROM  #x x, #upload u,  BESTDR6..PhotoObj as p WHERE  ( p.type = # OR p.type = #) AND u.up_id = x.up_id AND x.objID=p.objID ORDER BY x.up_id"
2019-09-03 15:02:00,1
2019-09-03 15:23:00,1
