103,"SELECT ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,Err_u,Err_g,Err_r,Err_i,Err_z,flags_r,run   FROM Galaxy   WHERE   ra BETWEEN # and # AND dec BETWEEN # and #"
2019-09-03 08:11:00,1
2019-09-03 08:12:00,2
2019-09-03 08:13:00,1
2019-09-03 08:20:00,1
2019-09-03 08:22:00,2
2019-09-03 08:24:00,1
2019-09-03 08:43:00,4
2019-09-03 08:53:00,4
2019-09-03 08:54:00,4
2019-09-03 08:55:00,4
2019-09-03 08:56:00,5
2019-09-03 08:57:00,5
2019-09-03 08:58:00,5
2019-09-03 08:59:00,5
2019-09-03 09:00:00,4
2019-09-03 09:01:00,4
2019-09-03 09:02:00,5
2019-09-03 09:26:00,2
2019-09-03 09:27:00,2
2019-09-03 09:28:00,4
2019-09-03 09:29:00,2
2019-09-03 09:30:00,3
2019-09-03 09:31:00,2
2019-09-03 09:32:00,1
2019-09-03 09:33:00,3
2019-09-03 09:34:00,2
2019-09-03 09:35:00,2
2019-09-03 09:36:00,3
2019-09-03 09:37:00,3
2019-09-03 09:38:00,2
2019-09-03 09:39:00,2
2019-09-03 09:40:00,4
2019-09-03 09:41:00,3
2019-09-03 09:42:00,3
2019-09-03 09:43:00,1
2019-09-03 09:44:00,2
