28,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-09-03 00:41:00,1
2019-09-03 00:42:00,2
2019-09-03 00:43:00,1
2019-09-03 01:25:00,6
2019-09-03 01:27:00,1
2019-09-03 01:35:00,1
2019-09-03 01:36:00,1
2019-09-03 01:49:00,1
2019-09-03 01:53:00,2
2019-09-03 01:54:00,2
2019-09-03 03:22:00,1
2019-09-03 07:11:00,2
2019-09-03 09:46:00,1
2019-09-03 12:11:00,1
2019-09-03 16:57:00,1
2019-09-03 18:51:00,3
2019-09-03 18:52:00,1
