45,"SELECT g.objid, g.ra, g.dec, g.petroRad_r, g.petroMag_r, s.z, s.zErr, dbo.fPhotoTypeN(g.type) as type, s.sourceType FROM Galaxy AS g JOIN SpecObj AS s ON g.objid = s.bestobjid, fGetNearbyObjEq(#,#,#) AS n WHERE g.objID = n.objID"
2019-09-03 02:47:00,1
2019-09-03 02:58:00,2
2019-09-03 03:02:00,2
2019-09-03 03:03:00,1
2019-09-03 03:07:00,17
2019-09-03 03:09:00,22
