79,"SELECT p.objid, p.dered_u AS u, p.psfMagErr_u as u_err, p.dered_g AS g, p.psfMagErr_g as g_err, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err, p.b AS b, p.l as l FROM photoObj p JOIN dbo.fGetNearbyObjEq(#, #, #) n ON p.objid = n.objID WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > #"
2019-05-06 14:49:00,1
2019-05-06 15:09:00,1
2019-05-06 15:11:00,1
2019-05-06 15:13:00,1
2019-05-06 15:14:00,1
2019-05-06 15:18:00,4
2019-05-06 15:28:00,1
2019-05-06 15:29:00,1
2019-05-06 15:30:00,2
2019-05-06 15:31:00,1
2019-05-06 15:36:00,3
2019-05-06 15:40:00,1
2019-05-06 15:41:00,2
2019-05-06 15:43:00,2
2019-05-06 15:45:00,2
2019-05-06 15:47:00,1
2019-05-06 15:49:00,2
2019-05-06 15:51:00,2
2019-05-06 15:53:00,1
2019-05-06 15:55:00,1
2019-05-06 15:57:00,2
2019-05-06 15:59:00,1
2019-05-06 16:02:00,1
2019-05-06 16:06:00,1
2019-05-06 16:08:00,1
2019-05-06 16:10:00,2
2019-05-06 16:13:00,1
2019-05-06 16:16:00,1
2019-05-06 16:18:00,1
2019-05-06 16:20:00,1
2019-05-06 16:23:00,1
2019-05-06 16:25:00,1
2019-05-06 16:28:00,1
2019-05-06 16:30:00,1
2019-05-06 17:03:00,1
2019-05-06 17:06:00,1
2019-05-06 17:07:00,1
2019-05-06 17:17:00,1
2019-05-06 17:23:00,5
2019-05-06 17:24:00,23
