40,"SELECT  top # p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,    p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z    FROM fGetObjFromRect(#,#,#,#) n,   PhotoPrimary p    WHERE n.objID=p.objID"
2019-05-06 04:08:00,3
2019-05-06 04:09:00,3
2019-05-06 04:10:00,4
2019-05-06 05:24:00,1
2019-05-06 05:25:00,2
2019-05-06 05:26:00,3
2019-05-06 05:27:00,2
2019-05-06 06:30:00,1
2019-05-06 17:20:00,2
2019-05-06 17:22:00,2
2019-05-06 17:23:00,3
2019-05-06 17:24:00,1
2019-05-06 17:37:00,1
2019-05-06 17:41:00,3
2019-05-06 17:42:00,3
2019-05-06 18:47:00,1
2019-05-06 18:48:00,4
2019-05-06 18:49:00,1
