1457,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-06 12:31:00,13
2019-05-06 12:32:00,56
2019-05-06 12:33:00,12
2019-05-06 12:34:00,78
2019-05-06 12:35:00,49
2019-05-06 12:36:00,83
2019-05-06 12:37:00,103
2019-05-06 12:38:00,90
2019-05-06 12:40:00,27
2019-05-06 12:41:00,20
2019-05-06 12:44:00,40
2019-05-06 12:45:00,48
2019-05-06 12:50:00,51
2019-05-06 12:51:00,61
2019-05-06 12:52:00,76
2019-05-06 12:53:00,35
2019-05-06 12:54:00,26
2019-05-06 12:55:00,37
2019-05-06 12:58:00,62
2019-05-06 13:02:00,77
2019-05-06 13:03:00,52
2019-05-06 13:04:00,38
2019-05-06 13:08:00,34
2019-05-06 13:09:00,68
2019-05-06 13:11:00,20
2019-05-06 13:12:00,74
2019-05-06 13:13:00,2
2019-05-06 13:14:00,39
2019-05-06 13:15:00,45
2019-05-06 13:19:00,41
