59,"SELECT p.objid, p.dered_u AS u, p.psfMagErr_u as u_err, p.dered_g AS g, p.psfMagErr_g as g_err, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err FROM photoObj p JOIN dbo.fGetNearbyObjEq(#, #, #) n ON p.objid = n.objID WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > #"
2019-05-06 11:18:00,2
2019-05-06 11:19:00,24
2019-05-06 11:20:00,3
2019-05-06 11:28:00,1
2019-05-06 13:58:00,1
2019-05-06 14:23:00,1
2019-05-06 15:18:00,2
2019-05-06 15:19:00,22
2019-05-06 15:21:00,1
2019-05-06 15:39:00,1
2019-05-06 17:24:00,1
