28,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-08-23 00:36:00,1
2019-08-23 00:38:00,2
2019-08-23 00:39:00,1
2019-08-23 00:40:00,1
2019-08-23 00:42:00,2
2019-08-23 00:44:00,1
2019-08-23 00:45:00,1
2019-08-23 00:58:00,1
2019-08-23 01:32:00,1
2019-08-23 02:18:00,1
2019-08-23 02:19:00,3
2019-08-23 02:20:00,3
2019-08-23 02:21:00,2
2019-08-23 04:55:00,1
2019-08-23 09:05:00,1
2019-08-23 10:17:00,1
2019-08-23 13:37:00,1
2019-08-23 14:47:00,1
2019-08-23 16:39:00,1
2019-08-23 17:04:00,1
2019-08-23 23:29:00,1
