14,"SELECT up_id,  dbo.fGetNearestSpecObjIdEq( up_ra,up_dec,up_sep ) as SpecobjId   FROM #upload  WHERE  dbo.fGetNearestSpecObjIdEq( up_ra,up_dec,up_sep ) IS NOT NULL  SELECT TOP #   s.ra,s.dec,s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN #x AS x ON x.SpecobjID=s.SpecobjID  JOIN #upload AS u ON u.up_id = x.up_id   WHERE  s.zWarning = #   ORDER BY x.up_id"
2019-08-23 01:46:00,1
2019-08-23 01:48:00,1
2019-08-23 05:41:00,1
2019-08-23 06:00:00,1
2019-08-23 06:02:00,1
2019-08-23 06:07:00,1
2019-08-23 06:11:00,1
2019-08-23 06:13:00,1
2019-08-23 06:18:00,1
2019-08-23 06:38:00,1
2019-08-23 06:51:00,1
2019-08-23 07:17:00,1
2019-08-23 12:32:00,1
2019-08-23 12:56:00,1
