7024,"select top #                                                                             G.objID, G.ra as ra2, G.dec as dec2,                                                       G.petroMag_u, G.petroMag_g, G.petroMag_r, G.petroMag_i, G.petroMag_z,                      G.petroMagErr_u, G.petroMagErr_g, G.petroMagErr_r, G.petroMagErr_i, G.petroMagErr_z,       ph.z as z2                                                                          from                                                                                              Galaxy as G, dbo.fGetNearbyObjEq(#,#,#) as N, photoz as ph                       where                                                                                             G.objID = N.objID and                                                                      ph.objID = N.objID and                                                                     ph.z># and                                                                                ph.z<#                                                                             order by G.petroMag_r"
2019-08-23 15:39:00,25
2019-08-23 15:40:00,25
2019-08-23 15:41:00,24
2019-08-23 15:42:00,22
2019-08-23 15:43:00,24
2019-08-23 15:44:00,23
2019-08-23 15:45:00,25
2019-08-23 15:46:00,24
2019-08-23 15:47:00,27
2019-08-23 15:48:00,28
2019-08-23 15:49:00,25
2019-08-23 15:50:00,27
2019-08-23 15:51:00,25
2019-08-23 15:52:00,26
2019-08-23 15:53:00,20
2019-08-23 15:54:00,26
2019-08-23 15:55:00,27
2019-08-23 15:56:00,27
2019-08-23 15:57:00,27
2019-08-23 15:58:00,27
2019-08-23 15:59:00,26
2019-08-23 16:00:00,25
2019-08-23 16:01:00,26
2019-08-23 16:02:00,27
2019-08-23 16:03:00,27
2019-08-23 16:04:00,28
2019-08-23 16:05:00,28
2019-08-23 16:06:00,26
2019-08-23 16:07:00,28
2019-08-23 16:08:00,27
2019-08-23 16:09:00,28
2019-08-23 16:10:00,27
2019-08-23 16:11:00,27
2019-08-23 16:12:00,27
2019-08-23 16:13:00,26
2019-08-23 16:14:00,26
2019-08-23 16:15:00,26
2019-08-23 16:16:00,25
2019-08-23 16:17:00,27
2019-08-23 16:18:00,27
2019-08-23 16:19:00,27
2019-08-23 16:20:00,26
2019-08-23 16:21:00,27
2019-08-23 16:22:00,26
2019-08-23 16:23:00,27
2019-08-23 16:24:00,27
2019-08-23 16:25:00,26
2019-08-23 16:26:00,28
2019-08-23 16:27:00,27
2019-08-23 16:28:00,24
2019-08-23 16:29:00,26
2019-08-23 16:30:00,26
2019-08-23 16:31:00,27
2019-08-23 16:32:00,28
2019-08-23 16:33:00,26
2019-08-23 16:34:00,28
2019-08-23 16:35:00,28
2019-08-23 16:36:00,28
2019-08-23 16:37:00,27
2019-08-23 16:38:00,27
2019-08-23 16:39:00,26
2019-08-23 16:40:00,27
2019-08-23 16:41:00,25
2019-08-23 16:42:00,26
2019-08-23 16:43:00,28
2019-08-23 16:44:00,27
2019-08-23 16:45:00,28
2019-08-23 16:46:00,27
2019-08-23 16:47:00,26
2019-08-23 16:48:00,26
2019-08-23 16:49:00,26
2019-08-23 16:50:00,24
2019-08-23 16:51:00,26
2019-08-23 16:52:00,26
2019-08-23 16:53:00,27
2019-08-23 16:54:00,26
2019-08-23 16:55:00,27
2019-08-23 16:56:00,27
2019-08-23 16:57:00,25
2019-08-23 16:58:00,27
2019-08-23 16:59:00,26
2019-08-23 17:00:00,26
2019-08-23 17:01:00,27
2019-08-23 17:02:00,27
2019-08-23 17:03:00,26
2019-08-23 17:04:00,26
2019-08-23 17:05:00,27
2019-08-23 17:06:00,26
2019-08-23 17:07:00,27
2019-08-23 17:08:00,27
2019-08-23 17:09:00,27
2019-08-23 17:10:00,25
2019-08-23 17:11:00,25
2019-08-23 17:12:00,27
2019-08-23 17:13:00,27
2019-08-23 17:14:00,26
2019-08-23 17:15:00,27
2019-08-23 17:16:00,27
2019-08-23 17:17:00,27
2019-08-23 17:18:00,26
2019-08-23 17:19:00,26
2019-08-23 17:20:00,25
2019-08-23 17:21:00,26
