140955,"SELECT d.*, s.class, s.subclass, s.z, s.zWarning FROM dbo.fGetNearestSpecObjAllEq(#,#,#) as d, SpecObjAll as s WHERE d.specObjID = s.specObjID"
2019-08-23 16:25:00,169
2019-08-23 16:37:00,329
2019-08-23 16:38:00,976
2019-08-23 16:39:00,88
2019-08-23 16:42:00,224
2019-08-23 16:48:00,1028
2019-08-23 16:49:00,447
2019-08-23 17:09:00,1343
2019-08-23 17:10:00,1235
2019-08-23 17:11:00,1199
2019-08-23 17:12:00,1180
2019-08-23 17:13:00,1187
2019-08-23 17:14:00,1201
2019-08-23 17:15:00,1104
2019-08-23 17:16:00,1194
2019-08-23 17:17:00,1186
2019-08-23 17:18:00,1177
2019-08-23 17:19:00,1180
2019-08-23 17:20:00,1247
2019-08-23 17:21:00,1222
2019-08-23 17:22:00,1185
2019-08-23 17:23:00,1188
2019-08-23 17:24:00,1196
2019-08-23 17:25:00,1251
2019-08-23 17:26:00,1202
2019-08-23 17:27:00,1066
2019-08-23 17:28:00,1175
2019-08-23 17:29:00,1229
2019-08-23 17:30:00,1015
2019-08-23 17:31:00,1028
2019-08-23 17:32:00,970
2019-08-23 17:33:00,1007
2019-08-23 17:34:00,1092
2019-08-23 17:35:00,1145
2019-08-23 17:36:00,1185
2019-08-23 17:37:00,1192
2019-08-23 17:38:00,1189
2019-08-23 17:39:00,1211
2019-08-23 17:40:00,1174
2019-08-23 17:41:00,825
2019-08-23 17:42:00,924
2019-08-23 17:43:00,1222
2019-08-23 17:44:00,1275
2019-08-23 17:45:00,1280
2019-08-23 17:46:00,1242
2019-08-23 17:47:00,1231
2019-08-23 17:48:00,1173
2019-08-23 17:49:00,1174
2019-08-23 17:50:00,1145
2019-08-23 17:51:00,1208
2019-08-23 17:52:00,1231
2019-08-23 17:53:00,1227
2019-08-23 17:54:00,1246
2019-08-23 17:55:00,1164
2019-08-23 17:56:00,1222
2019-08-23 17:57:00,1180
2019-08-23 17:58:00,1206
2019-08-23 17:59:00,1220
2019-08-23 18:00:00,1266
2019-08-23 18:01:00,1207
2019-08-23 18:02:00,1065
2019-08-23 18:03:00,1255
2019-08-23 18:04:00,1279
2019-08-23 18:05:00,1223
2019-08-23 18:06:00,528
2019-08-23 18:07:00,1147
2019-08-23 18:08:00,1103
2019-08-23 18:09:00,1180
2019-08-23 18:10:00,1254
2019-08-23 18:11:00,1271
2019-08-23 18:12:00,1189
2019-08-23 18:13:00,1238
2019-08-23 18:14:00,1139
2019-08-23 18:15:00,673
2019-08-23 18:16:00,1227
2019-08-23 18:17:00,1370
2019-08-23 18:18:00,1430
2019-08-23 18:19:00,1641
2019-08-23 18:20:00,1493
2019-08-23 18:21:00,1490
2019-08-23 18:22:00,1486
2019-08-23 18:23:00,1208
2019-08-23 18:24:00,1332
2019-08-23 18:25:00,1205
2019-08-23 18:26:00,1250
2019-08-23 18:27:00,1211
2019-08-23 18:28:00,1231
2019-08-23 18:29:00,1335
2019-08-23 18:30:00,1289
2019-08-23 18:31:00,1318
2019-08-23 18:32:00,1252
2019-08-23 18:33:00,1255
2019-08-23 18:34:00,1277
2019-08-23 18:35:00,1248
2019-08-23 18:36:00,1263
2019-08-23 18:37:00,1285
2019-08-23 18:38:00,876
2019-08-23 18:39:00,1118
2019-08-23 18:40:00,1190
2019-08-23 18:41:00,1166
2019-08-23 18:42:00,1265
2019-08-23 18:43:00,1230
2019-08-23 18:44:00,1245
2019-08-23 18:45:00,1274
2019-08-23 18:46:00,1230
2019-08-23 18:47:00,1188
2019-08-23 18:48:00,1225
2019-08-23 18:49:00,1235
2019-08-23 18:50:00,1295
2019-08-23 18:51:00,1228
2019-08-23 18:52:00,1271
2019-08-23 18:53:00,1326
2019-08-23 18:54:00,1361
2019-08-23 18:55:00,1237
2019-08-23 18:56:00,1276
2019-08-23 18:57:00,1304
2019-08-23 18:58:00,1072
2019-08-23 18:59:00,1196
2019-08-23 19:00:00,1263
2019-08-23 19:01:00,1153
2019-08-23 19:02:00,1217
2019-08-23 19:03:00,390
