149,"SELECT TOP #  s.plate,s.mjd,s.fiberid,p.run,p.rerun,p.camCol,p.field,p.obj,cast(str(p.ra,#,#) as float) as ra,cast(str(p.[dec],#,#) as float) as dec,p.r  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  WHERE s.zWarning = #"
2019-12-15 00:24:00,7
2019-12-15 00:25:00,23
2019-12-15 00:26:00,12
2019-12-15 00:27:00,6
2019-12-15 01:40:00,1
2019-12-15 01:59:00,18
2019-12-15 02:00:00,18
2019-12-15 02:01:00,12
2019-12-15 02:02:00,14
2019-12-15 02:03:00,18
2019-12-15 02:04:00,12
2019-12-15 02:05:00,6
2019-12-15 02:06:00,2
