3,"SELECT TOP #  s.plate,s.mjd,s.fiberid,p.cOnVeRt(int,p.(char(#)+char(#)+char(#)+(char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#)+char(#))+char(#)+char(#)+char(#)) COLLATE SQL_Latin1_General_Cp1#_CS_AS)  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  WHERE s.zWarning = #"
2019-12-15 00:24:00,1
2019-12-15 01:59:00,1
2019-12-15 02:02:00,1
