52,"SELECT  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,s.z as redshift, s.zErr, s.zWarning, s.class, s.snMedian FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE  p.ra<(#) AND p.ra>(#)  AND p.dec<(#) AND p.dec>(#)  AND s.z<(#) AND s.z>(#)  AND p.type=# AND s.snMedian>#"
2019-12-15 11:28:00,2
2019-12-15 11:29:00,17
2019-12-15 11:30:00,14
2019-12-15 11:31:00,19
